,quarter,Profitability (Local),Profitability (Global),Liquidity (Local),Liquidity (Global),Solvency (Local),Solvency (Global),Adj. Leverage (Local),Adj. Leverage (Global),Rev Growth,Alert Summary,Overall Status
0,2024-Q3,,,0.2553191489361702,0.0615384615384615,0.1702127659574468,0.3435897435897436,0.1702127659574468,0.3435897435897436,624.1%,"Global Low (Liquidity), Local Drop ↓ (Solvency), Local Drop ↓ (Leverage_Adjusted), Rev ↑",Neutral
1,2024-Q2,0.7644927536231885,0.550774843902806,0.0645235892691951,0.0415464743589743,0.1489361702127659,0.3384615384615385,0.574468085106383,0.6076193948231863,-87.1%,"Global Low (Liquidity), Local Drop ↓ (Liquidity), Local Drop ↓ (Solvency), Rev ↓",Weak
2,2024-Q1,0.7173913043478262,0.5238697058602272,0.1290471785383903,0.057051282051282,0.1914893617021277,0.3487179487179487,0.5848751156336726,0.6008992587191639,-61.9%,"Global Low (Liquidity), Local Drop ↓ (Liquidity), Local Drop ↓ (Solvency), Rev ↓",Weak
3,2023-Q4,0.7173913043478262,0.5198939291356353,0.4152405180388529,0.2207932692307692,0.127659574468085,0.3333333333333333,0.5420906567992599,0.5908372827804107,2219.3%,"Local Drop ↓ (Solvency), Rev ↑",Neutral
4,2023-Q3,0.7608695652173912,0.5103475513428121,0.2367021276595744,0.1428084935897436,0.0638297872340425,0.3179487179487179,0.488436632747456,0.5594482926236481,2.0%,"Global Low (Liquidity), Local Drop ↓ (Solvency), Rev ↑",Neutral
5,2023-Q2,0.717391304347826,0.4802979011509817,0.1290471785383903,0.057051282051282,0.1063829787234043,0.3282051282051282,0.4825393154486587,0.5349556446712845,-86.8%,"Global Low (Liquidity), Local Drop ↓ (Liquidity), Local Drop ↓ (Solvency), Rev ↓",Weak
6,2023-Q1,0.6630434782608695,0.4597382080794402,0.1290471785383903,0.057051282051282,0.0851063829787234,0.323076923076923,0.44472710453284,0.5158038643820635,-53.2%,"Global Low (Liquidity), Local Drop ↓ (Liquidity), Local Drop ↓ (Solvency), Rev ↓",Weak
7,2022-Q4,0.7355072463768115,0.4795080117354999,0.4046022201665125,0.2182291666666666,0.0212765957446808,0.3076923076923077,0.42368177613321,0.5140357273058695,1724.3%,"Local Drop ↓ (Solvency), Rev ↑",Neutral
8,2022-Q3,0.8876811594202899,0.58935529978184,0.5454440333024977,0.3223157051282052,0,0.3025641025641026,0.4673913043478261,0.5541256531777858,-0.3%,"Local Trend ↑ (Profitability), Local Drop ↓ (Solvency)",Neutral
9,2022-Q2,0.8478260869565218,0.546720078236666,0.6047641073080481,0.7816907051282052,0.0425531914893616,0.3128205128205128,0.4669287696577243,0.5497751853202091,-82.3%,"Local Trend ↑ (Profitability), Local Drop ↓ (Solvency), Rev ↓",Neutral
